,train,valid
0,46.56671169,102.5588608
1,41.47389195,99.86206818
2,39.42971036,98.97189331
3,38.58732506,98.16264343
4,37.83305933,97.38058472
5,37.11459593,96.63360596
6,36.46318975,95.91259766
7,35.92961297,95.22563934
8,35.40629731,94.57655334
9,34.92012114,93.9427948
10,34.54792965,93.33048248
11,34.09255592,92.72618866
12,33.75866744,92.14358521
13,33.41013884,91.57701874
14,33.09364584,91.0291748
15,32.73614641,90.49274445
16,32.46132148,89.96646118
17,32.23258608,89.456604
18,31.9625171,88.95204926
19,31.7305029,88.44929504
20,31.45105399,87.95928192
21,31.24292287,87.47596741
22,31.01491452,87.52510834
23,31.01442487,86.52272034
24,29.78373669,85.92383575
25,28.87684954,85.27936554
26,28.16214027,84.62570953
27,27.63984409,83.9353714
28,27.13621724,83.24777222
29,26.62508736,82.54217529
30,26.20888791,81.86283112
31,25.64675356,81.17729187
32,25.16263891,80.48715973
33,24.97457899,79.82932281
34,24.40191616,79.17017365
35,23.99713042,78.50728607
36,23.58524771,77.8799057
37,23.25640825,77.23896027
38,22.86626235,76.63622284
39,22.49528144,76.01603699
40,22.13275127,75.43067169
41,21.77812092,74.82497406
42,21.44635796,74.24822998
43,21.35387007,73.66928864
44,20.92006518,73.12673187
45,20.54919179,72.57536316
46,20.27233327,72.03168488
47,20.28789701,71.49436951
48,19.89046772,71.00254822
49,19.63838841,70.4901886
50,19.46067219,70.00224304
51,19.04744563,69.50389862
52,19.05029458,69.01631165
53,18.66129025,68.55153656
54,18.65731801,68.08869934
55,18.33726501,67.62093353
56,18.24111232,67.17289734
57,18.31825866,66.72724915
58,17.99220985,66.29588318
59,17.70484954,65.83231354
60,17.62826782,65.41533661
61,17.49697602,64.95608521
62,17.30739548,64.52626038
63,17.18584679,64.09986115
64,16.98232573,63.66523361
65,16.96061057,63.21484375
66,16.74867634,62.79164886
67,16.44200086,62.3617363
68,16.54313985,61.92864227
69,16.10281825,61.51119232
70,15.95760483,61.05001068
71,15.91766179,60.62151718
72,15.62085982,60.18627167
73,15.55296745,59.7379837
74,15.31424625,59.30456543
75,15.09964911,58.84688187
76,14.98476416,58.41074753
77,14.68449234,57.95982361
78,14.61015185,57.51075745
79,14.48304879,57.08148193
80,14.31691686,56.64524841
81,14.2298632,56.20384216
82,14.13815007,55.80420685
83,13.94292179,55.37108231
84,13.75616711,54.96294022
85,13.52150679,54.52895355
86,13.42934916,54.13250732
87,13.26394839,53.7266922
88,13.302245,53.31122971
89,13.16270488,52.93782806
90,12.92883415,52.53310776
91,13.040752,52.1748085
92,12.73169801,51.77978516
93,12.70333853,51.41082382
94,12.54661023,51.01436996
95,12.34722801,50.64297104
96,12.39301634,50.25271225
97,12.35258308,49.90628052
98,12.05617658,49.53294373
99,11.90989592,49.1566658
100,12.04281996,48.82165146
101,11.79191751,48.44948959
102,11.70196875,48.10751343
103,11.53633108,47.75628281
104,11.73782711,47.38809967
105,11.39858109,47.04111862
106,11.39887102,46.67737198
107,11.53831488,46.3557663
108,11.07390312,46.02085114
109,11.10083238,45.68902206
110,11.04450212,45.35196686
111,11.06687581,45.00563431
112,11.05997495,44.70561218
113,10.87565808,44.3601265
114,10.86145356,44.03653336
115,10.70317421,43.71891403
116,10.72720201,43.38651276
117,10.6301547,43.07539368
118,10.56641197,42.73098755
119,10.48502732,42.42470551
120,10.28801542,42.09798813
121,10.22916828,41.78134155
122,10.38735242,41.45033646
123,10.15041814,41.14480209
124,10.24507729,40.817379
125,10.17644714,40.52342606
126,9.977659006,40.20196915
127,9.794533863,39.8882103
128,9.989874946,39.56674957
129,9.843582765,39.26926041
130,9.958447398,38.94902802
131,9.788837242,38.64738464
132,9.601473878,38.32068253
133,9.502079159,38.02203369
134,9.627629107,37.69001389
135,9.478580726,37.38528442
136,9.482818457,37.05162811
137,9.275168132,36.72769928
138,9.281358494,36.4312973
139,9.321971571,36.10564804
140,9.076851725,35.79732895
141,9.045004699,35.50775528
142,9.13918184,35.18648529
143,9.186047031,34.90954971
144,8.926618743,34.59312057
145,8.749098038,34.32106781
146,8.738506938,34.0265274
147,8.595528639,33.72890091
148,8.566521977,33.42947388
149,8.895555003,33.1299057
150,8.649565522,32.856884
151,8.603560674,32.56253052
152,8.287625792,32.26971054
153,8.385120263,31.98666763
154,8.475594876,31.69228363
155,8.311511073,31.42444611
156,8.409357262,31.12799454
157,8.085654905,30.8547802
158,8.22482258,30.55721283
159,8.083439155,30.29974747
160,8.010871231,30.03335953
161,8.038362883,29.75090408
162,7.924210121,29.47677803
163,7.968402396,29.18651772
164,7.847388354,28.93484688
165,7.818125585,28.65665436
166,7.560985354,28.38750076
167,7.527348357,28.11632729
168,7.545943513,27.83352089
169,7.67489759,27.58135414
170,7.419449053,27.30523682
171,7.456925504,27.04953575
172,7.704693841,26.7768631
173,7.288078685,26.51329613
174,7.227444159,26.24808502
175,7.487121833,26.00514603
176,7.171899774,25.72960281
177,7.30357815,25.35042381
178,7.586315231,25.21259689
179,7.333066658,24.97894859
180,7.2357688,24.70285606
181,7.083946329,24.46113968
182,6.98187606,24.19303131
183,6.950278415,23.95266533
184,7.024561452,23.67339516
185,6.818238744,23.43120003
186,6.690858882,23.17635345
187,6.970701398,22.90593529
188,6.706671171,22.65790939
189,6.591154556,22.39778709
190,6.71239741,22.1384449
191,6.516910119,21.89504051
192,6.543328972,21.63635635
193,6.463431705,21.3734417
194,6.67046723,21.13968849
195,6.426431545,20.90836525
196,6.557049282,20.66021347
197,6.411829634,20.43408012
198,6.515519332,20.17159843
199,6.540029454,19.95130157
200,6.223304369,19.70376968
201,6.229599128,19.47184181
202,6.196728406,19.22977066
203,6.333119369,19.01105499
204,6.140965751,18.77168655
205,6.069133622,18.55241203
206,5.850561987,18.32243729
207,6.098925005,18.10406685
208,5.894878456,17.89634895
209,5.950693752,17.67312813
210,5.862026801,17.46167946
211,5.833373167,17.23133087
212,6.073260884,16.94887352
213,5.837110827,16.82282066
214,5.592175132,16.60152435
215,5.763823906,16.39170456
216,5.521294481,16.17391968
217,5.52844646,15.96055031
218,5.515026692,15.73048878
219,5.866915624,15.43861103
220,5.581511033,15.31366634
221,5.272682879,15.11231232
222,5.367906673,14.90159035
223,5.302442198,14.65515327
224,5.46983378,14.47664165
225,5.3146382,14.2473774
226,5.261436126,14.06372833
227,5.112529481,13.7162571
228,5.18705289,13.6574297
229,5.226186557,13.46502399
230,5.137550107,13.27253342
231,5.530692179,13.0764122
232,4.966053843,12.89325047
233,4.924359842,12.69649887
234,4.97731554,12.48442841
